stasiun,pm10,so2,co,o3,no2,critical,categori,year,kmeans_label
0,16.0,16.0,5.0,29.0,4.0,3,0,2019,3
0,29.0,19.0,22.0,47.0,12.0,3,0,2019,3
0,24.0,18.0,22.0,73.0,9.0,3,1,2019,3
0,30.0,17.0,19.0,60.0,7.0,3,1,2019,3
0,31.0,13.0,19.0,22.0,9.0,0,0,2019,3
0,18.0,13.0,15.0,51.0,10.0,3,1,2019,3
0,24.0,17.0,13.0,46.0,10.0,3,0,2019,3
0,36.0,12.0,23.0,49.0,11.0,3,0,2019,3
0,42.0,13.0,22.0,28.0,13.0,0,0,2019,3
0,30.0,19.0,24.0,21.0,12.0,0,0,2019,3
0,38.0,16.0,15.0,47.0,15.0,3,0,2019,3
0,28.0,15.0,20.0,25.0,10.0,0,0,2019,3
0,41.0,15.0,20.0,17.0,12.0,0,0,2019,3
0,30.0,19.0,18.0,33.0,9.0,3,0,2019,3
0,31.0,19.0,18.0,21.0,8.0,0,0,2019,3
0,25.0,16.0,18.0,12.0,6.0,0,0,2019,3
0,21.0,15.0,16.0,25.0,8.0,3,0,2019,3
0,23.0,3.0,16.0,24.0,10.0,3,0,2019,3
0,30.0,7.0,20.0,28.0,9.0,0,0,2019,3
0,25.0,6.0,15.0,19.0,8.0,0,0,2019,3
0,16.0,5.0,9.0,28.0,4.0,3,0,2019,3
0,18.0,5.0,14.0,19.0,7.0,3,0,2019,3
0,29.0,6.0,25.0,53.0,15.0,3,1,2019,3
0,31.0,7.0,19.0,44.0,9.0,3,0,2019,3
0,32.0,5.0,24.0,37.0,10.0,3,0,2019,3
0,35.0,7.0,17.0,70.0,14.0,3,1,2019,3
0,37.0,4.0,21.0,20.0,9.0,0,0,2019,3
0,21.0,6.0,16.0,47.0,20.0,3,0,2019,3
0,43.0,9.0,16.0,31.0,16.0,0,0,2019,3
0,40.0,9.0,17.0,28.0,9.0,0,0,2019,3
0,50.0,16.0,18.0,27.0,10.0,0,0,2019,3
0,42.0,10.0,20.0,16.0,15.0,0,0,2019,3
0,27.0,5.0,14.0,19.0,5.0,0,0,2019,3
0,35.0,7.0,22.0,70.0,13.0,3,1,2019,3
0,40.0,4.0,13.0,62.0,10.0,3,1,2019,3
0,33.0,6.0,11.0,39.0,9.0,3,0,2019,3
0,43.0,5.0,9.0,34.0,8.0,0,0,2019,3
0,29.0,4.0,13.0,71.0,8.0,3,1,2019,3
0,37.0,5.0,17.0,76.0,15.0,3,1,2019,3
0,43.0,20.0,13.0,62.0,12.0,3,1,2019,3
0,41.0,22.0,14.0,70.0,12.0,3,1,2019,3
0,42.0,23.0,14.0,31.0,10.0,0,0,2019,3
0,41.0,23.0,9.0,69.0,11.0,3,1,2019,3
0,41.0,22.0,14.0,29.0,9.0,0,0,2019,3
1,33.0,14.0,7.0,64.0,11.0,3,1,2019,3
1,36.0,15.0,6.0,39.0,20.0,3,0,2019,3
1,38.0,19.0,19.0,27.0,13.0,0,0,2019,3
1,33.0,22.0,8.0,33.0,16.0,0,0,2019,3
1,40.0,19.0,13.0,36.0,15.0,0,0,2019,3
1,32.0,20.0,9.0,49.0,7.0,3,0,2019,3
1,45.0,20.0,14.0,45.0,14.0,0,0,2019,3
1,24.0,19.0,9.0,45.0,13.0,3,0,2019,3
1,32.0,19.0,20.0,35.0,13.0,3,0,2019,3
1,45.0,19.0,14.0,52.0,12.0,3,1,2019,3
1,35.0,19.0,11.0,29.0,12.0,0,0,2019,3
1,28.0,19.0,15.0,43.0,12.0,3,0,2019,3
1,31.0,18.0,7.0,42.0,7.0,3,0,2019,3
1,34.0,18.0,12.0,33.0,11.0,0,0,2019,3
1,23.0,19.0,13.0,46.0,16.0,3,0,2019,3
1,45.0,19.0,12.0,43.0,17.0,0,0,2019,3
1,43.0,21.0,10.0,35.0,13.0,0,0,2019,3
1,47.0,20.0,20.0,36.0,10.0,0,0,2019,3
1,34.0,20.0,9.0,31.0,13.0,0,0,2019,3
1,24.0,19.0,7.0,50.0,16.0,3,0,2019,3
1,43.0,23.0,8.0,32.0,14.0,0,0,2019,3
1,26.0,21.0,6.0,38.0,12.0,3,0,2019,3
1,22.0,19.0,6.0,63.0,6.0,3,1,2019,3
1,38.0,21.0,4.0,54.0,8.0,3,1,2019,3
1,38.0,19.0,13.0,36.0,14.0,0,0,2019,3
1,40.0,20.0,11.0,42.0,19.0,3,0,2019,3
1,30.0,20.0,9.0,34.0,12.0,3,0,2019,3
1,39.0,21.0,12.0,48.0,8.0,3,0,2019,3
1,42.0,20.0,13.0,47.0,10.0,3,0,2019,3
1,33.0,19.0,14.0,28.0,6.0,0,0,2019,3
1,27.0,8.0,8.0,33.0,12.0,3,0,2019,3
1,35.0,8.0,9.0,37.0,9.0,3,0,2019,3
1,31.0,8.0,11.0,45.0,12.0,3,0,2019,3
1,26.0,7.0,7.0,39.0,15.0,3,0,2019,3
1,19.0,7.0,5.0,40.0,2.0,3,0,2019,3
1,21.0,7.0,7.0,37.0,7.0,3,0,2019,3
1,32.0,9.0,7.0,62.0,9.0,3,1,2019,3
1,49.0,18.0,8.0,41.0,7.0,0,0,2019,3
1,24.0,11.0,7.0,66.0,5.0,3,1,2019,3
1,42.0,7.0,7.0,34.0,7.0,0,0,2019,3
1,43.0,8.0,15.0,56.0,7.0,3,1,2019,3
1,25.0,8.0,9.0,29.0,6.0,3,0,2019,3
1,41.0,9.0,7.0,49.0,8.0,3,0,2019,3
1,46.0,7.0,14.0,35.0,7.0,0,0,2019,3
2,21.0,13.0,3.0,40.0,1.0,3,0,2019,3
2,20.0,13.0,4.0,47.0,2.0,3,0,2019,3
2,23.0,13.0,4.0,46.0,2.0,3,0,2019,3
2,42.0,11.0,7.0,38.0,3.0,0,0,2019,3
2,31.0,7.0,6.0,64.0,5.0,3,1,2019,3
2,39.0,7.0,8.0,58.0,4.0,3,1,2019,3
2,20.0,7.0,6.0,48.0,4.0,3,0,2019,3
2,44.0,8.0,13.0,63.0,7.0,3,1,2019,3
2,23.0,9.0,12.0,92.0,8.0,3,1,2019,3
2,36.0,9.0,13.0,81.0,9.0,3,1,2019,3
2,32.0,8.0,25.0,74.0,9.0,3,1,2019,3
2,42.0,9.0,14.0,75.0,6.0,3,1,2019,3
2,34.0,9.0,11.0,71.0,6.0,3,1,2019,3
2,40.0,10.0,13.0,51.0,6.0,3,1,2019,3
2,35.0,10.0,14.0,102.0,8.0,3,2,2019,3
2,38.0,9.0,14.0,68.0,5.0,3,1,2019,3
2,36.0,10.0,8.0,61.0,5.0,3,1,2019,3
2,40.0,9.0,8.0,39.0,4.0,0,0,2019,3
2,36.0,9.0,5.0,28.0,2.0,0,0,2019,3
2,40.0,9.0,12.0,26.0,6.0,0,0,2019,3
2,31.0,10.0,13.0,105.0,6.0,3,2,2019,3
2,48.0,10.0,18.0,23.0,5.0,0,0,2019,3
2,38.0,12.0,16.0,80.0,5.0,3,1,2019,3
2,33.0,12.0,14.0,91.0,8.0,3,1,2019,3
2,39.0,12.0,24.0,46.0,8.0,3,0,2019,3
2,27.0,11.0,21.0,91.0,6.0,3,1,2019,3
2,39.0,12.0,22.0,85.0,9.0,3,1,2019,3
2,42.0,12.0,25.0,68.0,6.0,3,1,2019,3
2,42.0,13.0,20.0,54.0,6.0,3,1,2019,3
2,28.0,12.0,18.0,90.0,4.0,3,1,2019,3
2,35.0,12.0,26.0,66.0,8.0,3,1,2019,3
3,16.0,7.0,6.0,24.0,3.0,3,0,2019,3
3,17.0,7.0,5.0,25.0,4.0,3,0,2019,3
3,15.0,7.0,5.0,26.0,4.0,3,0,2019,3
3,32.0,8.0,9.0,48.0,8.0,3,0,2019,3
3,27.0,23.0,8.0,26.0,5.0,0,0,2019,3
3,33.0,23.0,14.0,15.0,9.0,0,0,2019,3
3,25.0,23.0,7.0,18.0,5.0,0,0,2019,3
3,38.0,24.0,10.0,20.0,7.0,0,0,2019,3
3,31.0,24.0,14.0,38.0,9.0,3,0,2019,3
3,46.0,23.0,23.0,32.0,9.0,0,0,2019,3
3,39.0,19.0,19.0,33.0,10.0,0,0,2019,3
3,26.0,15.0,23.0,27.0,7.0,3,0,2019,3
3,32.0,20.0,28.0,28.0,8.0,0,0,2019,3
3,33.0,19.0,33.0,27.0,8.0,0,0,2019,3
3,32.0,21.0,21.0,31.0,9.0,0,0,2019,3
3,24.0,19.0,15.0,36.0,8.0,3,0,2019,3
3,47.0,19.0,23.0,37.0,5.0,0,0,2019,3
