stasiun,pm10,so2,co,o3,no2,critical,categori,year,kmeans_label
0,65.0,12.0,32.0,99.0,9.0,3,1,2019,1
0,52.0,12.0,22.0,64.0,10.0,3,1,2019,1
0,53.0,23.0,22.0,33.0,11.0,0,1,2019,1
0,61.0,20.0,47.0,93.0,9.0,3,1,2019,1
0,61.0,37.0,47.0,31.0,10.0,0,1,2019,1
0,54.0,22.0,27.0,31.0,6.0,0,1,2019,1
0,45.0,20.0,29.0,30.0,7.0,0,0,2019,1
0,59.0,25.0,34.0,65.0,10.0,3,1,2019,1
0,56.0,21.0,22.0,64.0,11.0,3,1,2019,1
0,52.0,14.0,33.0,17.0,18.0,0,1,2019,1
0,53.0,14.0,35.0,28.0,15.0,0,1,2019,1
0,41.0,21.0,25.0,41.0,18.0,0,0,2019,1
0,64.0,20.0,26.0,48.0,21.0,0,1,2019,1
0,37.0,14.0,28.0,19.0,17.0,0,0,2019,1
0,49.0,14.0,32.0,16.0,19.0,0,0,2019,1
0,32.0,12.0,24.0,56.0,15.0,3,1,2019,1
0,48.0,12.0,29.0,46.0,14.0,0,0,2019,1
0,48.0,14.0,25.0,25.0,14.0,0,0,2019,1
0,55.0,14.0,24.0,22.0,17.0,0,1,2019,1
0,50.0,13.0,29.0,16.0,15.0,0,0,2019,1
0,46.0,15.0,25.0,29.0,17.0,0,0,2019,1
0,45.0,17.0,39.0,66.0,16.0,3,1,2019,1
0,48.0,14.0,29.0,109.0,21.0,3,2,2019,1
0,48.0,17.0,22.0,52.0,11.0,3,1,2019,1
0,43.0,14.0,28.0,50.0,16.0,3,0,2019,1
0,47.0,16.0,30.0,99.0,18.0,3,1,2019,1
0,57.0,29.0,28.0,60.0,16.0,3,1,2019,1
0,47.0,15.0,42.0,28.0,12.0,0,0,2019,1
0,44.0,8.0,29.0,32.0,12.0,0,0,2019,1
0,44.0,5.0,36.0,47.0,18.0,3,0,2019,1
0,53.0,6.0,34.0,54.0,20.0,3,1,2019,1
0,40.0,6.0,25.0,79.0,16.0,3,1,2019,1
0,51.0,8.0,35.0,94.0,18.0,3,1,2019,1
0,51.0,9.0,31.0,76.0,20.0,3,1,2019,1
0,49.0,6.0,49.0,54.0,15.0,3,1,2019,1
0,51.0,7.0,44.0,46.0,18.0,0,1,2019,1
0,50.0,5.0,30.0,43.0,17.0,0,0,2019,1
0,45.0,8.0,25.0,24.0,18.0,0,0,2019,1
0,45.0,7.0,27.0,72.0,14.0,3,1,2019,1
0,61.0,10.0,41.0,87.0,13.0,3,1,2019,1
0,47.0,7.0,24.0,84.0,17.0,3,1,2019,1
0,46.0,14.0,27.0,70.0,18.0,3,1,2019,1
0,52.0,11.0,23.0,52.0,17.0,0,1,2019,1
0,42.0,6.0,25.0,44.0,23.0,3,0,2019,1
0,45.0,6.0,29.0,94.0,16.0,3,1,2019,1
0,50.0,7.0,37.0,49.0,16.0,0,0,2019,1
0,51.0,5.0,19.0,60.0,16.0,3,1,2019,1
0,65.0,13.0,36.0,60.0,12.0,0,1,2019,1
0,33.0,7.0,22.0,67.0,22.0,3,1,2019,1
0,44.0,8.0,31.0,32.0,11.0,0,0,2019,1
0,49.0,6.0,42.0,38.0,11.0,0,0,2019,1
0,53.0,8.0,35.0,48.0,19.0,0,1,2019,1
0,42.0,4.0,29.0,48.0,21.0,3,0,2019,1
0,49.0,3.0,24.0,54.0,11.0,3,1,2019,1
0,41.0,15.0,24.0,42.0,16.0,3,0,2019,1
0,51.0,12.0,32.0,29.0,14.0,0,1,2019,1
0,38.0,7.0,34.0,82.0,15.0,3,1,2019,1
0,49.0,9.0,31.0,44.0,16.0,0,0,2019,1
0,55.0,4.0,30.0,61.0,21.0,3,1,2019,1
0,52.0,6.0,26.0,57.0,19.0,3,1,2019,1
0,35.0,3.0,24.0,42.0,16.0,3,0,2019,1
0,47.0,3.0,21.0,40.0,13.0,0,0,2019,1
0,51.0,3.0,28.0,41.0,15.0,0,1,2019,1
0,53.0,6.0,23.0,31.0,13.0,0,1,2019,1
0,48.0,7.0,23.0,78.0,18.0,3,1,2019,1
0,53.0,7.0,24.0,47.0,18.0,0,1,2019,1
0,47.0,10.0,21.0,59.0,15.0,3,1,2019,1
0,54.0,8.0,22.0,47.0,15.0,0,1,2019,1
0,55.0,7.0,21.0,66.0,16.0,3,1,2019,1
0,47.0,7.0,20.0,59.0,16.0,3,1,2019,1
0,55.0,11.0,22.0,38.0,13.0,0,1,2019,1
0,51.0,9.0,15.0,49.0,19.0,0,1,2019,1
0,58.0,13.0,32.0,60.0,14.0,3,1,2019,1
0,52.0,10.0,26.0,39.0,10.0,0,1,2019,1
0,53.0,5.0,22.0,72.0,14.0,3,1,2019,1
0,53.0,9.0,20.0,35.0,13.0,0,1,2019,1
0,45.0,8.0,20.0,56.0,16.0,3,1,2019,1
0,48.0,8.0,22.0,64.0,22.0,3,1,2019,1
0,67.0,8.0,22.0,72.0,18.0,3,1,2019,1
0,55.0,9.0,25.0,68.0,21.0,3,1,2019,1
0,52.0,7.0,21.0,59.0,16.0,3,1,2019,1
0,46.0,7.0,27.0,56.0,24.0,3,1,2019,1
0,52.0,9.0,23.0,42.0,14.0,0,1,2019,1
0,52.0,10.0,20.0,44.0,12.0,0,1,2019,1
0,62.0,12.0,25.0,79.0,17.0,3,1,2019,1
0,62.0,13.0,23.0,66.0,13.0,3,1,2019,1
0,65.0,9.0,20.0,76.0,17.0,3,1,2019,1
0,63.0,14.0,20.0,62.0,15.0,0,1,2019,1
0,62.0,8.0,28.0,69.0,21.0,3,1,2019,1
0,59.0,14.0,26.0,51.0,14.0,0,1,2019,1
0,59.0,10.0,23.0,51.0,15.0,0,1,2019,1
0,61.0,11.0,24.0,73.0,15.0,3,1,2019,1
0,60.0,26.0,21.0,45.0,16.0,0,1,2019,1
0,58.0,25.0,20.0,29.0,16.0,0,1,2019,1
0,58.0,22.0,23.0,43.0,13.0,0,1,2019,1
0,60.0,21.0,22.0,72.0,15.0,3,1,2019,1
0,58.0,23.0,23.0,39.0,13.0,0,1,2019,1
0,62.0,23.0,24.0,51.0,19.0,0,1,2019,1
0,64.0,23.0,27.0,65.0,19.0,3,1,2019,1
0,66.0,22.0,23.0,49.0,16.0,0,1,2019,1
0,55.0,22.0,26.0,34.0,18.0,0,1,2019,1
0,62.0,22.0,22.0,64.0,22.0,3,1,2019,1
0,59.0,20.0,24.0,79.0,21.0,3,1,2019,1
0,64.0,25.0,23.0,42.0,15.0,0,1,2019,1
0,62.0,22.0,20.0,52.0,19.0,0,1,2019,1
0,66.0,23.0,25.0,75.0,25.0,3,1,2019,1
0,65.0,22.0,21.0,38.0,21.0,0,1,2019,1
0,65.0,14.0,27.0,53.0,17.0,0,1,2019,1
0,64.0,20.0,26.0,63.0,15.0,0,1,2019,1
0,63.0,21.0,22.0,64.0,13.0,3,1,2019,1
0,64.0,20.0,22.0,62.0,18.0,0,1,2019,1
0,61.0,20.0,22.0,63.0,20.0,3,1,2019,1
0,62.0,20.0,20.0,63.0,19.0,3,1,2019,1
0,57.0,19.0,16.0,65.0,17.0,3,1,2019,1
0,54.0,21.0,20.0,90.0,18.0,3,1,2019,1
0,55.0,20.0,22.0,51.0,13.0,0,1,2019,1
0,63.0,22.0,24.0,73.0,21.0,3,1,2019,1
0,66.0,20.0,21.0,66.0,14.0,0,1,2019,1
0,73.0,21.0,24.0,43.0,14.0,0,1,2019,1
0,52.0,18.0,19.0,45.0,18.0,0,1,2019,1
0,59.0,18.0,21.0,52.0,17.0,0,1,2019,1
0,66.0,17.0,26.0,81.0,19.0,3,1,2019,1
0,62.0,16.0,22.0,76.0,14.0,3,1,2019,1
0,62.0,20.0,23.0,74.0,18.0,3,1,2019,1
0,52.0,20.0,18.0,30.0,14.0,0,1,2019,1
0,61.0,17.0,29.0,53.0,18.0,0,1,2019,1
0,55.0,19.0,22.0,65.0,19.0,3,1,2019,1
0,57.0,18.0,22.0,89.0,16.0,3,1,2019,1
0,56.0,17.0,24.0,51.0,22.0,0,1,2019,1
0,58.0,15.0,24.0,53.0,17.0,0,1,2019,1
0,61.0,16.0,26.0,53.0,14.0,0,1,2019,1
0,56.0,19.0,20.0,58.0,12.0,3,1,2019,1
0,58.0,18.0,24.0,67.0,16.0,3,1,2019,1
0,57.0,18.0,20.0,61.0,20.0,3,1,2019,1
0,57.0,18.0,20.0,46.0,12.0,0,1,2019,1
0,56.0,20.0,23.0,43.0,15.0,0,1,2019,1
0,57.0,21.0,20.0,49.0,13.0,0,1,2019,1
0,53.0,20.0,18.0,47.0,14.0,0,1,2019,1
0,54.0,24.0,20.0,69.0,16.0,3,1,2019,1
0,57.0,22.0,21.0,90.0,18.0,3,1,2019,1
0,57.0,21.0,22.0,90.0,18.0,3,1,2019,1
0,52.0,20.0,20.0,47.0,16.0,0,1,2019,1
0,55.0,20.0,19.0,41.0,13.0,0,1,2019,1
0,67.0,25.0,24.0,71.0,17.0,3,1,2019,1
0,59.0,20.0,21.0,64.0,14.0,3,1,2019,1
0,58.0,23.0,23.0,46.0,16.0,0,1,2019,1
0,59.0,19.0,16.0,65.0,21.0,3,1,2019,1
0,56.0,19.0,17.0,74.0,23.0,3,1,2019,1
0,69.0,18.0,19.0,73.0,16.0,3,1,2019,1
0,65.0,18.0,21.0,92.0,24.0,3,1,2019,1
0,66.0,19.0,22.0,78.0,17.0,3,1,2019,1
0,58.0,18.0,20.0,70.0,12.0,3,1,2019,1
0,62.0,20.0,22.0,76.0,12.0,3,1,2019,1
0,58.0,22.0,40.0,53.0,11.0,0,1,2019,1
0,52.0,22.0,15.0,73.0,17.0,3,1,2019,1
0,68.0,22.0,28.0,72.0,12.0,3,1,2019,1
0,59.0,19.0,16.0,45.0,15.0,0,1,2019,1
0,62.0,21.0,21.0,43.0,14.0,0,1,2019,1
0,56.0,23.0,19.0,89.0,16.0,3,1,2019,1
0,56.0,20.0,21.0,86.0,17.0,3,1,2019,1
0,55.0,22.0,22.0,85.0,21.0,3,1,2019,1
0,72.0,24.0,20.0,86.0,19.0,3,1,2019,1
0,73.0,24.0,20.0,63.0,20.0,0,1,2019,1
0,67.0,22.0,29.0,28.0,15.0,0,1,2019,1
0,57.0,24.0,13.0,80.0,22.0,3,1,2019,1
0,53.0,20.0,19.0,57.0,17.0,3,1,2019,1
0,67.0,21.0,21.0,72.0,19.0,3,1,2019,1
0,64.0,22.0,21.0,69.0,13.0,3,1,2019,1
0,63.0,21.0,18.0,82.0,18.0,3,1,2019,1
0,64.0,22.0,20.0,66.0,15.0,3,1,2019,1
0,67.0,23.0,22.0,48.0,14.0,0,1,2019,1
0,62.0,23.0,20.0,64.0,14.0,3,1,2019,1
0,54.0,19.0,19.0,40.0,11.0,0,1,2019,1
0,51.0,21.0,22.0,57.0,10.0,3,1,2019,1
0,53.0,22.0,18.0,69.0,19.0,3,1,2019,1
0,61.0,26.0,20.0,56.0,18.0,0,1,2019,1
0,54.0,22.0,22.0,54.0,17.0,0,1,2019,1
0,59.0,24.0,19.0,46.0,16.0,0,1,2019,1
0,57.0,22.0,28.0,49.0,14.0,0,1,2019,1
0,54.0,23.0,20.0,73.0,14.0,3,1,2019,1
0,55.0,23.0,23.0,64.0,11.0,3,1,2019,1
0,52.0,22.0,28.0,47.0,9.0,0,1,2019,1
1,49.0,22.0,19.0,33.0,18.0,0,0,2019,1
1,56.0,20.0,26.0,53.0,17.0,0,1,2019,1
1,41.0,20.0,32.0,36.0,14.0,0,0,2019,1
1,50.0,22.0,16.0,39.0,17.0,0,0,2019,1
1,39.0,18.0,29.0,32.0,15.0,0,0,2019,1
1,51.0,20.0,39.0,45.0,12.0,0,1,2019,1
1,51.0,22.0,20.0,37.0,14.0,0,1,2019,1
1,59.0,24.0,18.0,75.0,22.0,3,1,2019,1
1,54.0,26.0,20.0,34.0,17.0,0,1,2019,1
1,50.0,23.0,14.0,64.0,22.0,3,1,2019,1
1,60.0,24.0,17.0,45.0,23.0,0,1,2019,1
