stasiun,pm10,so2,co,o3,no2,critical,categori,year,kmeans_label
0,61.0,15.0,28.0,147.5,8.0,3,2,2019,0
0,41.0,13.0,26.0,128.0,8.0,3,2,2019,0
0,63.0,19.0,33.0,118.0,15.0,3,2,2019,0
0,45.0,17.0,23.0,132.0,13.0,3,2,2019,0
0,57.0,18.0,20.0,144.0,9.0,3,2,2019,0
0,71.0,10.0,22.0,113.0,16.0,3,2,2019,0
0,59.0,20.0,18.0,105.0,14.0,3,2,2019,0
0,72.0,20.0,18.0,105.0,17.0,3,2,2019,0
0,69.0,18.0,24.0,115.0,19.0,3,2,2019,0
0,63.0,21.0,20.0,89.0,14.0,3,1,2019,0
0,51.0,22.0,16.0,95.0,14.0,3,1,2019,0
0,59.0,18.0,18.0,91.0,14.0,3,1,2019,0
0,63.0,23.0,13.0,93.0,15.0,3,1,2019,0
0,59.0,21.0,15.0,92.0,17.0,3,1,2019,0
0,59.0,27.0,17.0,129.0,16.0,3,2,2019,0
1,55.0,19.0,14.0,105.0,10.0,3,2,2019,0
1,33.0,19.0,7.0,113.0,26.0,3,2,2019,0
1,60.0,26.0,16.0,147.5,19.0,3,2,2019,0
1,76.0,19.0,23.0,103.0,18.0,3,2,2019,0
1,62.0,16.0,17.0,103.0,14.0,3,2,2019,0
1,55.0,9.0,9.0,111.0,10.0,3,2,2019,0
1,92.0,21.0,13.0,86.0,10.0,0,1,2019,0
1,59.0,8.0,17.0,106.0,9.0,3,2,2019,0
1,67.0,9.0,13.0,105.0,9.0,3,2,2019,0
1,87.0,18.0,19.0,94.0,13.0,3,1,2019,0
1,80.0,16.0,10.0,110.0,10.0,3,2,2019,0
1,81.0,14.0,20.0,137.0,12.0,3,2,2019,0
1,69.0,12.0,11.0,147.5,10.0,3,2,2019,0
1,66.0,13.0,9.0,111.0,8.0,3,2,2019,0
1,64.0,8.0,8.0,147.0,6.0,3,2,2019,0
1,74.0,7.0,14.0,147.5,5.0,3,2,2019,0
1,79.0,9.0,15.0,123.0,11.0,3,2,2019,0
1,79.0,10.0,11.0,99.0,10.0,3,1,2019,0
1,66.0,9.0,8.0,114.0,13.0,3,2,2019,0
1,98.0,10.0,10.0,96.0,12.0,0,1,2019,0
1,71.0,8.0,12.0,147.5,9.0,3,2,2019,0
1,75.0,8.0,10.0,103.0,11.0,3,2,2019,0
1,77.0,9.0,16.0,134.0,8.0,3,2,2019,0
1,81.0,8.0,20.0,112.0,8.0,3,2,2019,0
1,63.0,9.0,9.0,120.0,6.0,3,2,2019,0
1,70.0,8.0,15.0,146.0,8.0,3,2,2019,0
1,71.0,7.0,19.0,100.0,11.0,3,1,2019,0
1,80.0,9.0,20.0,109.0,11.0,3,2,2019,0
1,74.0,8.0,23.0,103.0,14.0,3,2,2019,0
1,69.0,8.0,19.0,120.0,12.0,3,2,2019,0
1,55.0,8.0,9.0,120.0,8.0,3,2,2019,0
1,57.0,10.0,16.0,137.0,9.0,3,2,2019,0
1,70.0,11.0,13.0,118.0,9.0,3,2,2019,0
1,65.0,7.0,21.0,107.0,13.0,3,2,2019,0
1,68.0,8.0,21.0,108.0,15.0,3,2,2019,0
1,85.0,8.0,16.0,133.0,24.0,3,2,2019,0
1,81.0,12.0,16.0,138.0,13.0,3,2,2019,0
1,70.0,9.0,10.0,106.0,8.0,3,2,2019,0
1,69.0,8.0,12.0,141.0,7.0,3,2,2019,0
1,72.0,12.0,14.0,103.0,10.0,3,2,2019,0
1,60.0,7.0,21.0,112.0,11.0,3,2,2019,0
1,73.0,8.0,16.0,102.0,10.0,3,2,2019,0
1,74.0,10.0,22.0,142.0,12.0,3,2,2019,0
2,71.0,11.0,16.0,132.0,8.0,3,2,2019,0
2,40.0,10.0,7.0,143.0,3.0,3,2,2019,0
2,55.0,10.0,12.0,147.5,6.0,3,2,2019,0
2,49.0,12.0,16.0,127.0,3.0,3,2,2019,0
2,70.0,11.0,31.0,118.0,14.0,3,2,2019,0
2,55.0,11.0,20.0,104.0,13.0,3,2,2019,0
2,78.0,11.0,37.0,147.5,14.0,3,2,2019,0
2,63.0,10.0,22.0,111.0,11.0,3,2,2019,0
2,54.0,10.0,17.0,122.0,8.0,3,2,2019,0
2,59.0,11.0,20.0,136.0,10.0,3,2,2019,0
2,61.0,11.0,19.0,102.0,8.0,3,2,2019,0
2,72.0,12.0,28.0,147.5,11.0,3,2,2019,0
2,50.0,11.0,15.0,144.0,10.0,3,2,2019,0
2,51.0,12.0,17.0,127.0,10.0,3,2,2019,0
2,64.0,13.0,27.0,147.5,13.0,3,2,2019,0
2,62.0,12.0,15.0,147.5,8.0,3,2,2019,0
2,54.0,11.0,19.0,122.0,10.0,3,2,2019,0
2,70.0,10.0,21.0,111.0,7.0,3,2,2019,0
2,60.0,10.0,27.0,110.0,8.0,3,2,2019,0
2,38.0,10.0,11.0,124.0,6.0,3,2,2019,0
2,49.0,10.0,24.0,130.0,11.0,3,2,2019,0
